Date,Open,High,Low,Close,Adj Close,Volume
2022-03-30,168.100006,168.240005,166.119995,167.960007,164.659241,3871500
2022-03-31,168.369995,169.300003,167.270004,167.380005,164.090652,6076200
2022-04-01,167.889999,169.929993,167.369995,169.759995,166.423874,3239600
2022-04-04,169.110001,169.389999,167.449997,169.320007,165.992523,3759900
2022-04-05,168.320007,171.380005,168.320007,169.500000,166.168991,4480700
2022-04-06,169.919998,172.699997,169.490005,172.389999,169.002182,4294800
2022-04-07,172.029999,173.279999,170.779999,172.550003,169.159058,5041600
2022-04-08,172.990005,173.690002,171.589996,173.130005,169.727661,3883100
2022-04-11,173.610001,174.970001,172.320007,172.600006,169.208084,3825100
2022-04-12,173.779999,174.649994,172.630005,173.300003,169.894302,3924300
2022-04-13,173.580002,173.820007,171.729996,173.000000,169.600204,4394000
2022-04-14,173.479996,174.259995,171.759995,171.899994,168.521820,4834300
2022-04-18,171.220001,172.309998,169.960007,170.419998,167.070892,3086000
2022-04-19,169.839996,173.169998,169.839996,172.899994,169.502167,3642000
2022-04-20,173.720001,175.970001,173.720001,175.470001,172.021683,4197600
2022-04-21,175.759995,177.240005,174.649994,174.839996,171.404053,3701300
2022-04-22,174.990005,175.270004,171.940002,172.149994,168.766891,5864000
2022-04-25,173.210007,173.919998,171.000000,173.740005,170.325668,7369900
2022-04-26,173.970001,175.350006,172.729996,173.300003,169.894302,7386600
2022-04-27,173.419998,176.690002,173.190002,174.850006,171.413849,5180300
2022-04-28,174.529999,177.619995,173.820007,177.500000,174.011780,5235800
2022-04-29,177.410004,177.410004,171.410004,171.710007,168.335556,6505600
2022-05-02,173.000000,173.460007,165.270004,167.759995,164.463165,7692100
2022-05-03,169.139999,169.309998,166.580002,167.990005,164.688660,5564900
2022-05-04,167.610001,174.119995,167.610001,173.860001,170.443298,6231500
2022-05-05,173.100006,173.320007,169.080002,170.389999,167.041489,6534300
2022-05-06,169.240005,170.800003,168.720001,170.410004,167.061111,5824600
2022-05-09,169.660004,172.889999,168.759995,171.699997,168.325745,7269100
2022-05-10,173.119995,174.539993,170.750000,171.490005,168.119888,5936700
2022-05-11,170.820007,172.410004,169.919998,170.660004,167.306183,5376900
2022-05-12,171.250000,171.990005,168.160004,170.399994,167.051285,6473500
2022-05-13,170.699997,174.160004,169.460007,173.720001,170.306061,4714600
2022-05-16,173.710007,176.300003,173.419998,175.470001,172.021683,5317200
2022-05-17,175.309998,175.679993,172.580002,174.460007,171.031525,5012200
2022-05-18,173.690002,173.869995,162.919998,163.649994,160.433960,8875400
2022-05-19,162.500000,162.779999,159.669998,161.199997,158.032104,6423800
2022-05-20,162.240005,163.059998,159.619995,162.210007,159.022263,5768800
2022-05-23,164.210007,166.949997,163.570007,165.600006,162.345642,4657800
2022-05-24,166.020004,168.259995,165.160004,167.820007,164.522003,6327600
2022-05-25,167.850006,169.490005,166.960007,168.970001,165.649414,5781000
2022-05-26,168.960007,171.089996,168.960007,170.110001,166.767014,5193800
2022-05-27,171.259995,171.809998,170.199997,171.770004,168.394379,6713500
2022-05-31,170.979996,170.979996,165.369995,167.750000,164.453369,13610000
2022-06-01,168.179993,168.380005,163.820007,166.490005,163.218140,5613900
2022-06-02,165.619995,166.750000,162.649994,166.679993,164.540939,4677300
2022-06-03,165.860001,166.589996,164.360001,164.850006,162.734436,4222000
2022-06-06,166.460007,167.619995,164.729996,165.539993,163.415573,3447800
2022-06-07,165.679993,166.860001,164.220001,166.559998,164.422485,4168300
2022-06-08,165.740005,166.809998,165.110001,165.729996,163.603134,2646800
2022-06-09,165.190002,166.929993,162.669998,162.779999,160.691010,3522900
2022-06-10,160.970001,163.919998,159.449997,162.520004,160.434326,5203300
2022-06-13,160.529999,162.869995,159.059998,159.740005,157.690018,6300700
2022-06-14,160.000000,160.050003,154.860001,156.119995,154.116455,6159200
2022-06-15,157.919998,159.839996,155.929993,157.789993,155.765030,5940100
2022-06-16,156.630005,158.460007,155.110001,157.029999,155.014786,7207900
2022-06-17,157.029999,158.990005,156.169998,157.059998,155.044403,9881800
2022-06-21,158.169998,160.960007,157.350006,160.710007,158.647568,4449600
2022-06-22,160.330002,162.990005,159.559998,162.029999,159.950623,4706500
2022-06-23,163.779999,165.139999,163.149994,164.100006,161.994064,5810700
2022-06-24,165.639999,166.190002,163.940002,166.130005,163.998016,5951500
2022-06-27,165.869995,167.130005,165.339996,166.350006,164.215195,4595800
2022-06-28,167.149994,168.449997,163.850006,164.009995,161.905212,4372900
2022-06-29,166.059998,167.559998,165.350006,166.729996,164.590317,3653600
