Date,Open,High,Low,Close,Adj Close,Volume
2022-01-31,60.299999,61.139999,60.150002,61.009998,59.256863,22045300
2022-02-01,60.910000,61.139999,60.160000,60.560001,58.819798,20841700
2022-02-02,60.619999,61.270000,60.560001,61.180000,59.421982,20225600
2022-02-03,60.939999,61.779999,60.590000,61.610001,59.839626,19440500
2022-02-04,61.490002,61.680000,60.570000,60.959999,59.208302,17403700
2022-02-07,61.380001,61.720001,60.860001,61.599998,59.829910,17846400
2022-02-08,61.830002,62.330002,61.740002,62.000000,60.218422,18771700
2022-02-09,62.169998,62.320000,60.900002,61.040001,59.286003,23595600
2022-02-10,60.360001,62.299999,60.200001,61.380001,59.616234,23561500
2022-02-11,61.770000,61.980000,60.150002,60.290001,58.557556,22781400
2022-02-14,60.160000,60.790001,59.279999,60.680000,58.936344,23641300
2022-02-15,60.959999,61.779999,60.630001,60.910000,59.159737,13408700
2022-02-16,60.860001,61.400002,60.560001,60.900002,59.150032,15484700
2022-02-17,60.549999,62.279999,60.410000,62.119999,60.334969,21468700
2022-02-18,62.119999,62.820000,61.990002,62.540001,60.742901,21975000
2022-02-22,62.430000,62.639999,61.720001,62.279999,60.490372,21731400
2022-02-23,62.240002,62.330002,61.340000,61.590000,59.820202,19248500
2022-02-24,59.970001,60.619999,59.220001,60.509998,58.771233,27207400
2022-02-25,60.939999,62.900002,60.919998,62.849998,61.043991,21487800
2022-02-28,61.650002,62.340000,61.410000,62.240002,60.451523,25879100
2022-03-01,62.139999,62.750000,61.509998,61.970001,60.189281,15871100
2022-03-02,62.230000,62.880001,61.779999,62.430000,60.636066,17319100
2022-03-03,62.610001,63.020000,62.290001,62.470001,60.674911,21262800
2022-03-04,61.459999,62.590000,61.200001,62.570000,60.772038,17163000
2022-03-07,62.009998,62.070000,60.720001,61.080002,59.324856,29151400
2022-03-08,61.450001,61.540001,58.590000,58.660000,56.974392,30242100
2022-03-09,59.820000,59.840000,58.660000,58.959999,57.265774,23022700
2022-03-10,58.480000,58.660000,57.500000,57.880001,56.216808,20887300
2022-03-11,57.959999,58.849998,57.860001,57.919998,56.255657,19855600
2022-03-14,57.970001,59.040001,57.970001,58.540001,57.293079,17799400
2022-03-15,59.080002,59.889999,58.980000,59.619999,58.350071,18607200
2022-03-16,59.779999,59.939999,58.610001,59.459999,58.193481,17347300
2022-03-17,59.459999,60.139999,59.230000,60.090000,58.810062,15586200
2022-03-18,60.299999,60.299999,59.709999,60.099998,58.819851,30197800
2022-03-21,60.500000,61.099998,60.250000,60.580002,59.289627,17440100
2022-03-22,60.930000,60.950001,60.060001,60.799999,59.504940,17559500
2022-03-23,60.750000,60.980000,60.000000,60.400002,59.113464,15529200
2022-03-24,60.639999,61.020000,60.459999,60.980000,59.681103,13151300
2022-03-25,61.119999,61.610001,61.049999,61.529999,60.219391,12259800
2022-03-28,61.529999,61.939999,61.209999,61.919998,60.601082,11485200
2022-03-29,62.209999,62.529999,61.740002,62.160000,60.835968,14720600
2022-03-30,62.009998,62.209999,61.560001,62.209999,60.884903,13641000
2022-03-31,62.220001,62.639999,62.000000,62.000000,60.679382,16822900
2022-04-01,62.330002,62.950001,62.090000,62.869999,61.530846,12644900
2022-04-04,62.599998,62.790001,61.720001,62.540001,61.207878,11505800
2022-04-05,62.400002,63.240002,62.369999,62.470001,61.139366,15721200
2022-04-06,62.770000,63.259998,62.299999,63.099998,61.755951,19267400
2022-04-07,63.130001,63.669998,62.709999,63.439999,62.088703,13960800
2022-04-08,63.480000,64.040001,63.160000,63.830002,62.470406,12703500
2022-04-11,63.910000,64.300003,63.639999,63.810001,62.450829,12720100
2022-04-12,64.379997,64.809998,63.889999,64.559998,63.184849,18089900
2022-04-13,64.440002,64.870003,64.230003,64.730003,63.351227,11883000
2022-04-14,64.959999,65.570000,64.820000,65.019997,63.635044,16388400
2022-04-18,64.769997,65.180000,64.180000,64.440002,63.067410,11679400
2022-04-19,64.500000,65.250000,64.440002,65.070000,63.683990,11993800
2022-04-20,65.440002,66.239998,65.400002,65.959999,64.555031,14827100
2022-04-21,65.980003,67.000000,65.720001,66.209999,64.799698,15120400
2022-04-22,66.080002,66.339996,65.180000,65.250000,63.860153,14902200
2022-04-25,67.000000,67.199997,64.779999,65.940002,64.535461,25082000
2022-04-26,65.519997,66.370003,65.040001,65.050003,63.664417,21982600
2022-04-27,65.000000,66.279999,65.000000,65.559998,64.163551,16971000
2022-04-28,64.660004,66.279999,64.500000,66.190002,64.780128,22010600
2022-04-29,65.870003,66.029999,64.489998,64.610001,63.233784,20137100
2022-05-02,65.279999,65.309998,62.580002,63.439999,62.088703,24970300
2022-05-03,63.720001,63.939999,62.669998,63.080002,61.736378,21686300
2022-05-04,63.000000,65.120003,62.939999,65.029999,63.644836,19780200
2022-05-05,64.690002,65.029999,64.010002,64.510002,63.135914,20155200
2022-05-06,64.199997,65.309998,64.070000,64.739998,63.361015,18984000
2022-05-09,64.470001,65.360001,64.040001,64.610001,63.233784,20055300
2022-05-10,64.500000,65.320000,63.849998,64.010002,62.646568,21322200
2022-05-11,64.330002,65.199997,63.959999,64.309998,62.940174,19648400
2022-05-12,64.160004,64.529999,63.209999,64.510002,63.135914,22574700
2022-05-13,64.809998,65.800003,64.120003,65.720001,64.320145,16167000
2022-05-16,65.440002,66.379997,65.440002,65.959999,64.555031,13223200
2022-05-17,66.099998,66.099998,65.010002,65.779999,64.378860,21300600
2022-05-18,65.419998,65.519997,60.959999,61.200001,59.896423,31437300
2022-05-19,60.959999,60.959999,59.660000,60.000000,58.721981,31493900
2022-05-20,60.490002,61.240002,59.660000,60.980000,59.681103,29133800
2022-05-23,61.650002,63.099998,61.590000,62.860001,61.521061,19406900
2022-05-24,62.880001,64.190002,62.750000,64.019997,62.656349,16154200
2022-05-25,64.000000,64.470001,63.599998,64.070000,62.705288,15360500
2022-05-26,64.070000,65.099998,63.959999,64.300003,62.930389,16159800
2022-05-27,64.260002,64.830002,64.139999,64.680000,63.302296,17709000
2022-05-31,64.080002,64.320000,63.049999,63.380001,62.029984,43159000
2022-06-01,63.419998,63.680000,62.130001,63.070000,61.726589,15408300
2022-06-02,63.180000,63.740002,62.110001,63.730000,62.372528,14586000
2022-06-03,63.570000,63.630001,62.810001,62.970001,61.628719,13539900
2022-06-06,63.330002,63.770000,62.660000,62.869999,61.530846,15112800
2022-06-07,62.380001,63.369999,62.220001,63.250000,61.902756,17886300
2022-06-08,62.990002,63.209999,62.560001,62.889999,61.550419,10211500
2022-06-09,62.869999,63.349998,61.779999,61.799999,60.483635,13382200
2022-06-10,61.009998,61.889999,60.459999,61.410000,60.101944,14967600
2022-06-13,60.750000,62.290001,60.669998,61.340000,60.033436,23064200
2022-06-14,60.730000,60.889999,58.660000,59.230000,58.387199,24620000
2022-06-15,60.000000,60.639999,58.970001,59.669998,58.820938,19684700
2022-06-16,58.639999,59.520000,58.250000,59.070000,58.229473,15053800
2022-06-17,59.700001,60.130001,59.130001,59.430000,58.584354,34781900
2022-06-21,59.490002,60.880001,59.009998,60.700001,59.836281,17705000
2022-06-22,60.599998,61.450001,60.320000,61.150002,60.279881,15207100
2022-06-23,61.299999,61.910000,61.230000,61.880001,60.999493,17190900
2022-06-24,62.110001,63.060001,62.110001,63.040001,62.142990,18147100
2022-06-27,62.980000,63.290001,62.630001,62.910000,62.014835,12142100
2022-06-28,63.080002,63.759998,62.110001,62.279999,61.393799,13150100
2022-06-29,62.540001,63.110001,62.430000,62.730000,61.837399,11795500
2022-06-30,62.320000,63.110001,62.160000,62.910000,62.014835,15514200
2022-07-01,63.119999,64.449997,62.820000,64.379997,63.463917,15143200
2022-07-05,64.180000,64.180000,62.419998,63.279999,62.379570,15921200
2022-07-06,63.599998,64.089996,63.189999,63.410000,62.507717,13450500
2022-07-07,63.259998,63.580002,62.700001,62.910000,62.014835,14828400
2022-07-08,63.029999,63.419998,62.880001,63.139999,62.241562,11311500
2022-07-11,62.990002,63.459999,62.590000,62.939999,62.044407,12702100
2022-07-12,63.000000,63.450001,62.470001,62.669998,61.778252,14731100
2022-07-13,62.330002,63.000000,61.980000,62.380001,61.492378,13145300
2022-07-14,61.330002,62.250000,61.299999,62.180000,61.295223,14433000
2022-07-15,62.750000,62.970001,62.070000,62.500000,61.610668,21968400
2022-07-18,62.520000,62.560001,61.509998,61.650002,60.772766,10780800
2022-07-19,62.090000,62.650002,61.930000,62.529999,61.640240,10998200
2022-07-20,62.400002,62.580002,61.150002,61.500000,60.624901,11010500
2022-07-21,61.259998,61.880001,60.790001,61.360001,60.486893,11959600
2022-07-22,61.380001,61.869999,61.320000,61.590000,60.713619,11644700
2022-07-25,61.549999,62.299999,61.310001,62.189999,61.305077,14941700
2022-07-26,62.750000,63.799999,62.529999,63.209999,62.310566,20118000
2022-07-27,62.880001,63.189999,61.790001,63.009998,62.113411,12142900
2022-07-28,62.919998,64.250000,62.889999,64.059998,63.148468,10837000
2022-07-29,63.709999,64.290001,63.630001,64.169998,63.256905,13734200
2022-08-01,64.089996,65.040001,64.029999,64.519997,63.601925,12831500
2022-08-02,64.589996,64.599998,63.430000,63.639999,62.734447,15241900
2022-08-03,63.549999,64.099998,63.310001,63.919998,63.010464,11317000
2022-08-04,63.639999,63.730000,62.919998,63.669998,62.764019,11795600
2022-08-05,63.630001,63.630001,62.669998,63.380001,62.478146,10445400
2022-08-08,63.500000,63.810001,62.750000,62.970001,62.073982,9165200
2022-08-09,63.180000,63.310001,62.849998,63.049999,62.152843,7910900
2022-08-10,63.630001,63.790001,63.099998,63.650002,62.744308,8857300
2022-08-11,63.689999,63.990002,63.080002,63.220001,62.320427,8507800
2022-08-12,63.430000,63.759998,63.090000,63.700001,62.793594,9489300
2022-08-15,63.639999,64.690002,63.570000,64.500000,63.582214,9863300
2022-08-16,64.570000,65.230003,64.330002,65.029999,64.104668,9569600
2022-08-17,64.830002,65.220001,64.760002,64.879997,63.956799,8144000
2022-08-18,64.959999,65.349998,64.709999,65.220001,64.291969,6532000
2022-08-19,65.209999,65.470001,64.959999,65.169998,64.242676,8921100
2022-08-22,64.839996,64.919998,63.990002,64.199997,63.286480,9087900
2022-08-23,63.820000,64.370003,63.680000,64.269997,63.355480,8443800
2022-08-24,64.239998,64.580002,64.050003,64.360001,63.444202,6844700
2022-08-25,64.360001,64.709999,63.900002,64.669998,63.749786,7913900
2022-08-26,64.730003,64.800003,62.980000,63.110001,62.211990,10089500
2022-08-29,62.689999,63.029999,62.410000,62.730000,61.837399,9115900
2022-08-30,62.910000,62.910000,61.990002,62.150002,61.265652,8456800
2022-08-31,62.380001,62.529999,61.700001,61.709999,60.831909,14633600
2022-09-01,61.580002,62.040001,61.290001,62.000000,61.117786,14939700
2022-09-02,62.389999,62.770000,60.900002,61.150002,60.279881,11809800
